CODIGO;NOME;DTINICIO;DTFIM;DESCRICAO;INCIDENCIAEXCLUSIVAEMPREGADO
3510;Gratificação (jeton);1012014;;Valor correspondente a gratificação (jeton) por comparecimento a sessões ou reuniões;
3511;Gratificação eleitoral;1012014;;Valor correspondente ao exercício da atividade pelo juiz eleitoral;
3520;Remuneração de cooperado;1012014;;Remuneração a cooperado vinculado a cooperativa de trabalho;
3525;Côngruas, prebendas e afins;1052018;;Valores pagos a ministros de confissão religiosa e que independem de natureza e da quantidade do trabalho executado;
4010;Complementação salarial de auxílio-doença;1012014;;Complementação salarial de auxílio-doença ao trabalhador afastado por acidente de trabalho ou por doença;
4011;Complemento de salário-mínimo - RPPS;1012014;;Valor correspondente à diferença entre o salário-mínimo e o valor do vencimento do cargo efetivo pago a servidor público vinculado a Regime Próprio de Previdência Social - RPPS;
4050;Salário-maternidade;1012014;;Remuneração mensal da trabalhadora empregada durante a licença maternidade, quando paga pelo contratante ou órgão público;S
4051;Salário-maternidade - 13° salário;1012014;;Valor correspondente ao 13° salário pago pelo contratante ou órgão público, no período de licença maternidade;S
5001;13º salário;1012014;;Valor relativo ao 13° salário de trabalhador, inclusive as médias de 13° salário (horas extras, adicional noturno, etc.), exceto se relativo à primeira parcela ou se pago em rescisão contratual – nessa opção deve ser classificado também o valor pago mensalmente ao trabalhador avulso e ao empregado com contrato de trabalho intermitente, a título de 13° salário;
5005;13° salário complementar;1012014;;Valor do 13° salário complementar relativo a diferenças apuradas não consideradas na folha de fechamento do 13° salário;
5501;Adiantamento de salário;1012014;;Valor relativo a adiantamento, antecipação ou pagamento parcial de folha de salários;
5504;13º salário - Adiantamento;1012014;;Valor relativo a adiantamento do 13° salário;
5510;Adiantamento de benefícios previdenciários;1012014;;Valor relativo a adiantamento de benefícios a serem pagos pela Previdência Social Oficial;
6000;Saldo de salários na rescisão contratual;1012014;;Valor correspondente aos dias trabalhados no mês da rescisão contratual;
6001;13º salário relativo ao aviso prévio indenizado;1012014;;Valor correspondente ao 13° salário incidente sobre o aviso prévio indenizado;
6002;13° salário proporcional na rescisão;1012014;;Valor correspondente ao 13° salário proporcional pago na rescisão do contrato de trabalho, exceto o pago sobre o aviso prévio indenizado;
6003;Indenização compensatória do aviso prévio;1012014;;Valor da maior remuneração do trabalhador, correspondente ao número de dias relativo ao aviso prévio, calculado de acordo com o tempo de serviço do empregado;
6004;Férias - Dobro na rescisão;1012014;;Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias não concedidas no prazo legal, inclusive o adicional constitucional;
6006;Férias proporcionais;1012014;;Valor correspondente a 1/12 avos da remuneração a que faz jus a época da rescisão contratual, fração superior a 14 dias por mês de trabalho e a projeção do aviso prévio indenizado, inclusive o adicional constitucional;
6007;Férias vencidas na rescisão;1012014;;Valor correspondente a remuneração a que faz jus a época da rescisão contratual, correspondente a férias vencidas, mas dentro do prazo concessivo, inclusive o adicional constitucional;
6101;Indenização compensatória - Multa rescisória 20 ou 40% (CF/88);1012014;;"Valor correspondente à indenização por demissão sem justa causa, por culpa recíproca ou força maior (ambas reconhecidas pela Justiça do Trabalho) ou por acordo entre empregado e empregador, quando da rescisão do contrato de trabalho; ou correspondente à antecipação da multa rescisória do FGTS paga ao empregado com contrato Verde e Amarelo";
6102;Indenização do art. 9º da Lei 7.238/1984;1012014;;Valor correspondente a indenização quando a dispensa ocorrer sem justa causa dentro dos trinta dias que antecedem a data base;
6103;Indenização do art. 14 da Lei 5.889/1973;1012014;;Valor correspondente a indenização do tempo de serviço ao safrista, importância correspondente a 1/12 (um doze avos) do salário mensal, por mês de serviço ou fração superior a 14 (quatorze) dias;
6104;Indenização do art. 479 da CLT;1012014;;Valor correspondente a metade da remuneração devida ate o termino do contrato a prazo determinado em caso de rescisão antecipada;
6105;Indenização recebida a título de incentivo a demissão;1012014;;Valor correspondente a incentivo a demissão em Programas de Demissão Voluntária - PDV;
6106;Multa do art. 477 da CLT;1012014;;Valor devido ao trabalhador por atraso no pagamento de rescisão do contrato de trabalho (art. 477 da CLT, § 8º);
6107;Indenização por quebra de estabilidade;1012014;;Valor correspondente a indenização por desligamento durante período de estabilidade legal, ou estabilidade derivada de acordo ou convenção coletiva de trabalho;
6108;Tempo de espera do motorista profissional;1012014;;Valor correspondente ao tempo de espera do motorista profissional;
6119;Indenização rescisória - Programa Emergencial de Manutenção do Emprego e da Renda;1042020;;Indenização pela dispensa sem justa causa que ocorrer durante o período de garantia provisória no emprego de que trata o Programa Emergencial de Manutenção do Emprego e da Renda;
6129;Outras verbas não remuneratórias (indenizatórias ou multas);1012014;;Valor correspondente a parcelas indenizatórias ou outras multas previstas em leis ou em Instrumentos Coletivos de Trabalho, exceto as previstas nos demais itens;
6901;Desconto do aviso prévio;1012014;;Valor descontado do trabalhador que tenha pedido demissão e não cumpriu aviso prévio, total ou parcialmente;
6904;Multa prevista no art. 480 da CLT;1012014;;Valor descontado do empregado pela rescisão antecipada, por iniciativa do empregado, do contrato de trabalho a termo;
7001;Proventos;1012014;;Valor dos proventos de Aposentadoria a servidor público;
7002;Proventos - Pensão por morte Civil;1012014;;Valor dos proventos por morte a beneficiário de servidor público;
7003;Proventos - Reserva;1012014;;Valor dos proventos a militar da reserva remunerada;
7004;Proventos - Reforma;1012014;;Valor dos proventos a militar reformado;
7005;Pensão Militar;1012014;;Valor da pensão a beneficiário de militar;
7006;Auxílio-reclusão;1012014;;Valor de auxílio-reclusão para o servidor público de baixa renda;
7007;Pensões especiais;1012014;;Valor das pensões de caráter especial diferentes de pensão por morte;
7008;Complementação de aposentadoria/ pensão;1012014;;Valor relativo à complementação de aposentadoria/pensão vinculada ao Regime Geral de Previdência Social - RGPS;
9200;Desconto de adiantamentos;1012014;;Valor relativo a descontos a título de adiantamentos em geral, como de salários e outros, exceto a 1ª parcela do 13° salário;
9201;Contribuição previdenciária;1012014;;Desconto a título de contribuição previdenciária;
9202;Contribuição militar;1012014;;Desconto relativo à seguridade do militar e seus dependentes;
9203;Imposto de Renda Retido na Fonte;1012014;;Desconto a título de Imposto de Renda Retido na Fonte - IRRF;
9205;Provisão de contribuição previdenciária;1012014;;Desconto efetuado em recibos de férias relativo a provisão de contribuição previdenciária;
9207;Faltas;1012014;;Desconto decorrente de ausência de trabalho durante todo o dia em razão de, por exemplo, falta injustificada, suspensão disciplinar, greve;
9208;Atrasos;1012014;;Desconto decorrente de ausência de trabalho em razão de, por exemplo, atrasos no início da jornada de trabalho ou de saída antecipada do trabalhador;
9209;Faltas ou atrasos;1012014;;Desconto correspondente a faltas, atrasos no início da jornada de trabalho ou à saída antecipada do trabalhador;
9210;DSR s/faltas e atrasos;1012014;;Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre faltas e atrasos do trabalhador;
9211;DSR sobre faltas;1012014;;Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre faltas do trabalhador;
9212;DSR sobre atrasos;1012014;;Desconto correspondente ao Descanso Semanal Remunerado - DSR, calculado sobre atrasos do trabalhador;
9213;Pensão alimentícia;1012014;;Desconto correspondente a pensão alimentícia sobre o salário mensal, 13° salário, PLR e férias;
9214;13° salário - Desconto de adiantamento;1012014;;Desconto de antecipação do 13° salário;
9216;Desconto de vale-transporte;1012014;;Desconto do vale-transporte referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior;
9217;Contribuição a Outras Entidades e Fundos;1012014;;Desconto relativo a contribuições destinadas a outras entidades e fundos (Terceiros), como por exemplo, Sest, Senat, etc., devidas por algumas categorias de contribuintes individuais;
9218;Retenções judiciais;1012014;;Desconto relativo a retenções de verbas devidas a trabalhadores por ordem judicial, exceto pensão alimentícia;
9219;Desconto de assistência médica ou odontológica - Plano coletivo empresarial;1012014;;Desconto referente a participação do trabalhador no custo de assistência médica ou odontológica, ou em virtude de concessão do benefício em valor maior, nos casos de plano coletivo empresarial;
9220;Alimentação - Desconto;1012014;30062021;Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior;
9221;Desconto de férias;1012014;;Valor correspondente a remuneração (dias) de férias do mês corrente pago no mês anterior ou adiantamento de férias;
9222;Desconto de outros impostos e contribuições;1012014;;Desconto de outros impostos, taxas e contribuições, exceto Imposto de Renda Retido na Fonte, contribuição previdenciária e contribuições destinadas a outras entidades e fundos (Terceiros);
9223;Previdência complementar - Parte do empregado;1012014;;Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior;
9224;FAPI - Parte do empregado;1012014;;Desconto referente a participação do trabalhador no custo de Fundo de Aposentadoria Programada Individual - FAPI, ou em virtude de concessão do benefício em valor maior;
9225;Previdência complementar - Parte do servidor;1012014;;Desconto referente a participação do trabalhador no custeio de Plano de Previdência Complementar do Servidor Público;
9226;Desconto de férias - Abono;1012014;;Desconto correspondente ao abono de férias pago no mês anterior ou adiantamento de férias;
9230;Contribuição sindical laboral;1012014;;Valor correspondente ao desconto da contribuição laboral correspondente a um dia de trabalho a título de contribuição sindical;
9231;Mensalidade sindical ou associativa;1012014;;Valor correspondente ao desconto referente a mensalidade sindical ou associativa do trabalhador;
9232;Contribuição sindical - Assistencial;1012014;;Valor correspondente ao desconto da contribuição destinada ao custeio das atividades assistenciais do sindicato;
9233;Contribuição sindical - Confederativa;1012014;;Valor correspondente ao desconto da contribuição destinada ao custeio do sistema confederativo;
9240;Alimentação concedida em pecúnia - Desconto;1012014;;Desconto referente à alimentação concedida sob a forma de pecúnia;
9241;Alimentação em ticket ou cartão, vinculada ao PAT - Desconto;1012014;;Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao Programa de Alimentação do Trabalhador - PAT;
